C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_525.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_525.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_525.jpg,0,0,0,6.685848
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_592.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_592.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_592.jpg,0,0,0,6.644941
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_661.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_661.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_661.jpg,0,0,0,6.603526
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_731.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_731.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_731.jpg,0,0,0,6.548716
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_800.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_800.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_800.jpg,0,0,0,6.507904
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_868.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_868.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_868.jpg,0,0,0,6.453878
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_11_936.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_11_936.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_11_936.jpg,0,0,0,6.41365
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_12_004.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_12_004.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_12_004.jpg,0,0,0,6.360555
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_12_074.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_12_074.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_12_074.jpg,0,0,0,6.320982
C:\Users\cristian\Desktop\data_aut_nav\IMG\center_2024_05_24_10_27_12_145.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\left_2024_05_24_10_27_12_145.jpg,C:\Users\cristian\Desktop\data_aut_nav\IMG\right_2024_05_24_10_27_12_145.jpg,0,0,0,6.268505
